"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L1_v1010_v10182","L1-022","v1.0.14","v1.0.13","code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\Anode_Fit_v1.0.14.py","code companion","Keep physics logic unchanged while updating comments/equation references for the rewritten documents.","The result calls v1.0.14 a documentation/rigor release with logic inherited.","Exact non-Git source comparison shows only comments/reference metadata changed from v1.0.13; executable physics logic did not change.","doc-only/code-stable","v1.0.13 implementation baseline.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:1-899 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\Anode_Fit_v1.0.14.py:1-904 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\V1014_RESULT.md:1-52","v1.0.14 code-mention audit","Byte comparison was performed without Git."
"L1_v1010_v10182","L1-023","v1.0.15","v1.0.14","code/planning","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-04-v1015-code-update-plan.md","superseded plan","Initially preserve deprecated/orphan discrete-grid code while updating around it.","A later master plan superseded this after the user required actual removal.","The final v1.0.15 code follows the newer deletion plan, not the older preservation plan.","supersession/reversal","Old v1.0.15 code-update plan.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-04-v1015-code-update-plan.md:1-97 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-05-v1015-code-doc-sync-master-plan.md:1-164 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_EXECUTION_LEDGER.md:1-20","User-directed plan change recorded in the newer plan","The older plan is historical evidence, not the controlling completion criterion."
"L1_v1010_v10182","L1-024","v1.0.15","v1.0.14","Ch1/code/API","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py","architecture/API change","Remove the uniform work-voltage grid, inverse interpolation, low-pass recurrence, dead function, and five grid parameters; replace with pointwise continuous memory.","P1-P5 and the handover report complete removal and pointwise replacement.","The final code adds _causal_memory_pointwise and removes _causal_lowpass, func_U_j_hys, min_lag_grid_steps, grid_pad_lo, grid_pad_hi, n_work_min, and v_span_floor. Ch1 deliberately removes labels eq:branch, eq:lowpass, and eq:vwork while adding memory/lag/tail-limit labels.","deliberate-deletion/API-break/expansion","v1.0.14 discrete-grid dynamics.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:105-133 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:393-509 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex:1985-2105 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P1_anchor_RESULT.md:1-70 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P5_RESULT.md:1-46","v1.0.15 master plan; v1.0.14 code/Ch1","Deletion is intentional and traceable, not accidental equation/API loss."
"L1_v1010_v10182","L1-025","v1.0.15","v1.0.14","code/tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py","pointwise memory behavior","Preserve input ordering, recover equilibrium as L approaches zero, and normalize the dynamic tail without a grid threshold.","P3-P5 report analytic and numerical closure.","The final source sorts internally and restores input order. Read-only audit checks found arbitrary-permutation max absolute difference 0, tiny-L exact equality to equilibrium, and active-tail areas 1.000000000000127 and 1.0000000000007623 over wide windows.","correction/verification","Old grid threshold caused a reported approximately 23% jump.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:105-133 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:439-448 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:507-509 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P3_RESULT.md:1-55 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P4_RESULT.md:1-49","v1.0.15 test/sample/suite sources","Audit checks were read-only and did not run scripts that write figures or golden data. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-026","v1.0.15","v1.0.14","Ch2","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch2_v1.0.15.tex","worked heat example","Add a worked reversible-heat example and correct width precedence/numerical tables.","P4 initially supplied the example; P7 found and corrected fallback-width/n precedence values.","Final Ch2 contains ssec:worked plus tab:worked and tab:qrev, with the corrected table values and n-over-w precedence reflected in the handover.","expansion/correction","P4's initial worked-example numbers.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch2_v1.0.15.tex:741-823 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P4_RESULT.md:1-49 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P7_RESULT.md:1-39 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\HANDOVER_v1.0.15.md:21-29","v1.0.15 Ch2 and P7","This is a confirmed correction of the shipped documentary example."
"L1_v1010_v10182","L1-027","v1.0.15","v1.0.14","figures/tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\figs\graph_suite_v1015.png","regenerated figure deliverable","Regenerate figures/golden outputs after the architecture change.","P6 reports regeneration and package closure.","The v1.0.15 package contains the new suite/sample images and a new golden NPZ; Phase 002 visual and machine-artifact audits found no structural/readability failure.","regeneration","v1.0.14 outputs tied to grid architecture.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P6_RESULT.md:1-32 | D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\R_required_images_summary.md:1-42 | D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\S_machine_artifacts_summary.md:1-34","v1.0.15 graph_suite/sample/golden artifacts","Visual/machine checks do not establish scientific correctness. [merge normalization: original verification_status=확정(구조/레이아웃)]"
"L1_v1010_v10182","L1-028","v1.0.15","v1.0.14","data/model","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\HANDOVER_v1.0.15.md","handover debt","Close code-doc synchronization while recording remaining empirical work.","The handover closes architecture work and leaves real-data fitting/parameterization debt.","The final built-in datasets remain literature/default parameter sets; no new real-data calibration artifact appears in this release.","debt","v1.0.15 architecture closure.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\HANDOVER_v1.0.15.md:21-29 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\CLOSING_v1.0.15.md:1-105 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:1-895","v1.0.16 n(T); later roadmap","Debt is documentary; absence of real-data artifacts was checked only within assigned scope. [merge normalization: original severity=Unrated]"
"L1_v1010_v10182","L1-029","v1.0.16","v1.0.15","Ch1-Ch2/code/API","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\Anode_Fit_v1.0.16.py","temperature-dependent width API","Add optional n_T1/n_T_ref, n(T), and dwdT propagation into configurational entropy/reversible heat.","The ledger and handover report implementation and guard closure.","Code implements n(T) at lines 294-323 and _dwdT at 327-339; Ch1 and Ch2 add matching equations/caveats. Read-only checks gave n(T)=[0.6637,0.7,0.7437], central-difference max error 4.386e-14, and a ValueError when n_T1 lacks n.","API-expansion","v1.0.15 constant n or frozen w.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\Anode_Fit_v1.0.16.py:294-339 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\graphite_ica_ch1_v1.0.16.tex:1253-1255 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\graphite_ica_ch2_v1.0.16.tex:498-502 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1016_EXECUTION_LEDGER.md:1-21","v1.0.16 handover and fitting guide","Numeric checks exercise implementation consistency, not empirical identifiability. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-030","v1.0.16","v1.0.15","Ch2/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\Anode_Fit_v1.0.16.py","array-temperature closure","Support array T in entropy_coefficient and reversible_heat after a reported High failure.","The ledger reports the High fixed.","Final code vectorizes the relevant paths. Read-only audit evaluation produced finite shape-(3,) entropy output and reversible_heat identity error 0.","correction","High: array T unsupported.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\Anode_Fit_v1.0.16.py:562-647 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1016_EXECUTION_LEDGER.md:1-21 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\HANDOVER_v1.0.16.md:1-28","v1.0.16 Ch2 eq:dwdT-nT","Closure was re-tested directly against final code. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-031","v1.0.16","v1.0.15","tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\test_regression_graphite.py","test coverage","Preserve the new n(T)/array-T behavior in committed tests.","Process documents report tests PASS.","The committed regression, sample, and graph-suite sources contain no n_T1 or n_T_ref cases. The implementation is independently reproducible, but dedicated coverage is not preserved in these shipped tests.","test-gap","v1.0.16 feature closure.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\test_regression_graphite.py:1-85 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\sample_test_v1016.py:1-124 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\graph_suite_v1016.py:1-145","V1016_EXECUTION_LEDGER.md:1-21","Absence was checked in all three fully read committed test/demo surfaces named here. [merge normalization: original severity=Unrated]"
"L1_v1010_v10182","L1-032","v1.0.17","v1.0.16","review workflow","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_REVIEW_COMPLETE.md","review extraction/recovery","Review Ch1, Ch2, appendix, code, references, and register consistency.","The ledger records an initial extraction that omitted Ch2 and appendix, followed by re-extraction and completed review.","The final review report explicitly documents both the omission and restored scope; final artifact changes include Ch2 and appendix edits, so the recovery is traceable.","workflow-regression/recovery","Full-scope review plan.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-07-v1017-register-consistency-polish-plan.md:1-117 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_EXECUTION_LEDGER.md:1-26 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_REVIEW_COMPLETE.md:1-60","V1017_FIXLIST_CONSOLIDATED.md:1-122","This is a review-process regression, not a scientific-model regression."
"L1_v1010_v10182","L1-033","v1.0.17","v1.0.16","Ch1-Ch2/appendix/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\graphite_ica_ch1_v1.0.17.tex","register/reference polish","Add notation/register consistency and reference corrections without changing executable behavior.","The handover reports a documentation-only polish release.","Ch1 adds tab:notation, Ch2 adds eq:complete, and the appendix adds dimensional clarification. The v1.0.17 core and guide are byte-identical to v1.0.16.","doc-only/expansion","v1.0.16 implementation.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\graphite_ica_ch1_v1.0.17.tex:1-3520 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\graphite_ica_ch2_v1.0.17.tex:1-898 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\appendix_phase_separation.tex:1-492 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\Anode_Fit_v1.0.17.py:1-930 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\HANDOVER_v1.0.17.md:1-32","v1.0.16 exact core/guide","Byte identity was verified without Git."
"L1_v1010_v10182","L1-034","v1.0.17","v1.0.16","references","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_FIXLIST_CONSOLIDATED.md","bibliographic correction","Correct seven author fields and two DOI entries.","The review report says the corrections were applied.","The final TeX contains the changed entries, but this read-only snapshot audit did not query Crossref or external primary sources. Current bibliographic correctness is therefore not independently verified.","reference-correction","v1.0.16 bibliography.","미검증","Medium","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_FIXLIST_CONSOLIDATED.md:1-122 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_REVIEW_COMPLETE.md:34-60 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\graphite_ica_ch1_v1.0.17.tex:1-3520","External bibliographic registries","Artifact application is confirmed; truth against external registries is 미검증."
"L1_v1010_v10182","L1-035","v1.0.18.1","v1.0.17","Ch1-Ch2/appendix/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.1\HANDOVER_v1.0.18.1.md","split-release carryover closure","Close v1.0.17 cosmetic/register/unit carryovers before the v1.0.18 physics extension.","The v1.0.18 ledger separates v1.0.18.1 documentary closure from v1.0.18.2 physics work.","The v1.0.18.1 core and guide are byte-identical to v1.0.16/v1.0.17; changes are in Ch1/appendix formatting, labels, units, and register. Ch2 is substantively unchanged beyond version/cosmetic edits.","split-release/doc-only","v1.0.17 deferred cosmetic items.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1018_EXECUTION_LEDGER.md:1-33 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.1\HANDOVER_v1.0.18.1.md:1-23 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.1\graphite_ica_ch1_v1.0.18.1.tex:1-3542 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.1\appendix_phase_separation.tex:1-495 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.1\Anode_Fit_v1.0.18.1.py:1-930","v1.0.17 exact core/guide","Split identity and byte stability were verified without Git."
